,Name,Comment,stopword_comment,Hasil Sentimen
633,tofa R. A,Ngak berani comen takut dilacak:v,ngak berani comen takut dilacak,Negatif
634,LOVE KPOP,"Selalu Jaga kesehatan ya Pak...
Bismillah...InsyaAllah jika tujuan baik  pasti akan di mudah kan sama Allah...walaupun banyak rintangan tapi pasti ada jalannya...",jaga kesehatan bismilah insyalah tujuan mudah allah rintangan jalanya,Positif
635,natalia dian,"gk usah banyak penjelasan pak, semua aturan yg bapak buat dan janjiin dulu gk ada yg ditepatin, kondisi kyk gini rakyat teriak kelaparan phk dimana2 bapak malah merubah peraturan yg ""MENCEKIK"" leher para rakyat..pesangon yg harusnya diwajibkan dpt 32x sekarang cm 16x dan itu asuransi melalui mekanisme yg rumit.. bertanyalah ke hati kecil bapak !! ke ibu bapak yg dulu mengamanatkan bapak untuk melindungi RAKYAT KECIL!! sekarang bapak malah mencekik leher KAMI SEMUA!! Semoga ALLAH membalas semua perbuatan kalian..AMIIN...AMIIN YAROBALALLAMIN.",penjelasan aturan janjin ditepatin kondisi rakyat teriak kelaparan phk dimana merubah peraturan mencekik leher rakyat pesangon diwajibkan cm asuransi mekanisme rumit bertanyalah hati mengamanatkan melindungi rakyat mencekik leher semoga allah membalas perbuatan amin amin yarobalalamin,Positif
636,LOVE KPOP,"Buat pendemo sebaiknya kalian dengarkan ini....
Jangan asal demo kalau gak ngerti bener2 permasalahannya",pendemo dengarkan demo mengerti permasalahanya,Negatif
637,Ibrahim Aji,"""Semoga Tuhan membalas semua perbuatan kalian yg selalu menyusahkan hidup kami.""

Itulah doa rakyat buat para pemimpin Indonesia yg dzalim. Ingat!! Suara rakyat adalah suara Tuhan!!!!!",semoga tuhan membalas perbuatan menyusahkan hidup doa rakyat pemimpin indonesia dzalim suara rakyat suara tuhan,Negatif
638,Muhamad Yudi,Yaelah bebek noh kasih makan,yaelah bebek noh kasih makan,Positif
639,T707,Pak presiden yg Terhormat. Yg d resahkan kbnyakan masyarakat dan kbnykan negara laen iti adalah kejahatan luar biasa. Seperti pembunuhan. Pemerkosa anak d bawah umur. Kekerasan yg menyebabkan cacat fisik. Bandar narkoba. Dan korupsi. Tolong pertajam lagi hukumannya. Jgn cuma di kurung dan d amankan dalam penjara dan d umpan makan . Bagai mana mereka bsa jera. Lepas penjara berulah lagi. Gitu aja siklus nya buat para pelaku kejahatan luar biasa. Mending hukum mati aja. . Jgn beri ampun utk kejahatan luar biasa.,"presiden terhormat resahkan kbnyakan masyarakat kbnykan negara laen iti kejahatan pembunuhan pemerkosa anak umur kekerasan menyebabkan cacat fisik bandar narkotika, psikotropika, obat terlarang korupsi tolong pertajam hukumanya kurung amankan penjara umpan makan jera lepas penjara berulah siklus pelaku kejahatan hukum mati ampun kejahatan",Negatif
640,Hamdan Frayoga,Hukum modaarrr.... Suruh makan tai kebooo....buat tikus 2 yg merongrong hak rakyat,hukum mati suruh makan kotoran kebo tikus merongrong hak rakyat,Negatif
641,Baja ringan mukti,"#dia yg berjanji #dia yg memungkiri 
Kalo kepala sudah bego/tolol ke lutut kaki kebawa bodoh gk itu kepala sendiri, kepala rumah tangga kepala daera atau entah #kepalanegara",berjanji memungkiri kepala bego tolol lutut kaki kebawa bodoh kepala kepala rumah tanga kepala daera kepalanegara,Negatif
642,Dahlan official,Bodoh.... Se enaknya kau phk orang nanti gblk..,bodoh enaknya phk orang gblk,Negatif
644,M.iqbal Ramadhan,Berisik,berisik,Positif
645,yanuar alfan,Dengerin tuh... Rakyat ingin Korupsi hukuman mati.,dengarkan rakyat korupsi hukuman mati,Negatif
646,Tukang Komentar,#MosiTidakPercaya  udh bosen di kibuli Pemerintah. UU Omnibus Law khususnya UU Cipta Kerja harus di batalkan.,mositidakpercaya bosen kibuli pemerintah omnibus law cipta kerja batalkan,Negatif
647,Joko Jok,bohong aj trus kerjaan,bohong kerjan,Negatif
648,naura hafizah,Prank melulu,prank melulu,Negatif
649,Srihartini Tini,"Apa yg diucapkan semua sedikitpun sy sdh tdk percaya sama sekali, janji pada Pilpres juga hanya sebuah janji yg manis dan pada akhir pahit...",sedikitpun percaya janji pilpres janji manis pahit,Positif
650,haedar lvlup,Ruu Koruptor diats 1M dipenggal di alun2,koruptor diats dipengal alun,Negatif
651,Annisa Syahida,Oh ini channel negara ? Penghasilannya di pake apa ya.,oh chanel negara penghasilanya pakai,Negatif
652,Annisa Syahida,"Daripada angkatan kerja dijadikan pekerja yang malah menyusahkan, knpa gk adakan pembimbingan jadi pengusaha mandiri pak.",angkatan kerja dijadikan pekerja menyusahkan adakan pembimbingan pengusaha mandiri,Negatif
653,Kalibata Mantab,"Yaelah pada bacot hukum mati,
kenapa pemerintah banyak yg korup ?? Krn generasi yg jujur ga mau jadi pemimpin, ga mau berpolitik,.

Kalo ada calon independen yg memang jujur, emang lu mau milih ???? Paling lu juga ga percaya, ujung ujungnya percaya sama partai, ngakak, partai itu kepentingan boss, kepentingan isi perut pribadi.

NKRI banyak yg pintar, banyak juga yg jujur, cuma malas aja terjun berpolitik,.
Akhrnya yg berpolitik bajingan semua,
Ada sebiji 2 biji yg jujur, eh kebawa arus yg bajingan, akhirnya jd bajingan juga,.

Percuma lu sampe berbusa hukum mati koruptor, selama 90% lebih didalam pemerintahan dan instansi instansi isinya koruptor semua, mustahil ada UU hukum mati koruptor.

manusia jujur yg minim tetap akan kalah sama bajingan bajingan disekelilingnya.

Buat gue tidak ikut seluruh pemilihan umum cukup untuk menunjukan kekecewaan gue kepada pemerintah.
Gue ga berharap banyak, krn pasti akan gitu gitu aja.",yaelah bicara hukum mati pemerintah korupsi generasi jujur pemimpin berpolitik calon independen jujur milih percaya ujung ujungnya percaya partai tertawa partai kepentingan bos kepentingan isi perut pribadi nkri pintar jujur malas terjun berpolitik akhrnya berpolitik bajingan sebiji biji jujur eh kebawa arus bajingan bajingan berbusa hukum mati koruptor didalam pemerintahan instansi instansi isinya koruptor mustahil hukum mati koruptor manusia jujur minim kalah bajingan bajingan disekelilingnya pemilihan menunjukan kekecewan pemerintah berharap,Negatif
654,Ibrahim Aji,"Karena rakyat cuma dicecoki mutu pendidikan rendahan, pada males baca dan ada ideologi yg ditutup2i makanya stagnan trus.

Sedangkan anak cucu pemimpin politik disuguhi pendidikan khusus yg ujung2nya nerusin politik moyangnya doang.",rakyat dicecoki mutu pendidikan rendahan males baca ideologi ditutupi stagnan anak cucu pemimpin politik disuguhi pendidikan khusus ujungnya nerusin politik moyangnya,Negatif
655,Horsecitycrew,Udahlah lo udah gak cocok jadi presiden jokowi!! Gatau malu udah di demo dimana mana malah kabur,udahlah cocok presiden jokowi malu demo dimana kabur,Negatif
657,Tribenz Gaming,"Saya minta tolong pak
Hukuman penjara seumur hidup bagi koruptor",tolong pakhukuman penjara seumur hidup koruptor,Negatif
658,Tribenz Gaming,"Hanya bpak yang bisa memutuskan 
Kami rakyat kecil tidak bisa memberi hukuman bagi koruptor",bpak memutuskan rakyat hukuman koruptor,Negatif
659,Odieks doank,"Bukti PDF resminya mana?jangan bacot doang.
Kenapa UU OMNIBUSLOW terkesan dipercepat untuk di sahkan sama kaya waktu pilpres disahkan tengah malam",bukti pdf resminya bicara omnibuslow terkesan dipercepat sahkan kaya pilpres disahkan malam,Negatif
660,Jeka Apriadi,"Alhamdulillah saya bersyukur sekali karena YouTube saya udah di monetisasi,udah ada iklan nya,meskipun pake hp kentang,yuk mampir",alhamdulilah bersyukur youtube monetisasi iklan pakai hp kentang ayo mampir,Positif
661,Tegar Anggi Prasetyo,"Assalammualaikum
Mana file pdf asli UU Omnibus Law nya pak? Biar kami bisa tau mana yg Hoax dan yg mana benar.... Kok belum di sebar?",asalamualaikumana file pdf asli omnibus law biar isu bohong sebar,Negatif
662,Maling Jemuran,@Tegar Anggi Prasetyo Download dulu file yg gue kasih lalu klo lu masih gak percaya searching di sites resmi Pemerintah & dpr. Ada yg berbeda tidak. Nah lu senduri tau dari mana klo UU nya berjumlah 800 an. Coba gue tanya File yg lu dapat itu dari mana?,angi prasetyo download file kasih percaya searching sites resmi pemerintah dpr berbeda senduri an coba file,Negatif
663,Maling Jemuran,"@Tegar Anggi Prasetyo loh kok nanya draft. Katanya draft UU nya belum ada. Kok sekarang bilang draft dari presiden cuma 800 an halaman, piye toh mas2. Ngomong kok ngono toh mas2. 🤣🤣",angi prasetyo draft draft bilang draft presiden an halaman piye mas bicara ngono mas,Negatif
664,Tegar Anggi Prasetyo,"Berarti sampean liat draf halamanya seribuan dan 900  halaman..... Sedangkan yg sampai presiden cuma 812 halaman.... 
Berarti draf yg sampean lihat hoax dong 😂",sampean lihat draf halamanya seribuan halaman presiden halaman draf sampean lihat isu bohong,Negatif
665,Tegar Anggi Prasetyo,"Lucu ya 😂...draf nya berubah dari hasil rapat dengan yg di serahkan presiden berubah.... 
Anggota dewan aja belum di bagi yg 812 halaman .kok sampean ngaku sudah lihat file nya. File nya sampean hoax itu 😂....",lucu draf berubah hasil rapat serahkan presiden berubah angota dewan halaman sampean mengaku lihat file file sampean isu bohong,Negatif
666,Maling Jemuran,@Tegar Anggi Prasetyo Oleh karenanya UU tsb memuliakan buruh dari tindakan semenah2 pengusaha,angi prasetyo memuliakan buruh tindakan semenah pengusaha,Negatif
667,Tegar Anggi Prasetyo,"Ya salah lah.... Ngeluarinnya pas covid gini... 
Tuh UU udah lama di tolak.",salah ngeluarinya pas covid tolak,Negatif
668,Maling Jemuran,@Tegar Anggi Prasetyo Tergesah2..? Dengarin keterangan menteri menkopolhukam dan menteri Tenaga Kerja donk. UU tsb sudah melalui tahap yg panjang. Dan pemerintah lebih paham kapan UU tsb dikeluarkan. Tp bagi tukang rusuh kapan pun uu dikeluarkan akan tetap salah maklum kaum anarko,angi prasetyo tergesah dengarin keterangan menteri menkopolhukam menteri tenaga kerja donk tahap pemerintah paham dikeluarkan tukang rusuh dikeluarkan salah maklum kaum anarko,Negatif
669,Tegar Anggi Prasetyo,"Sekarang saya tanya... Kenapa UU Ciptaker ini harus di sah kan di masa pandemi ini dan tergesah gesah,di mana pemikiran pemerintah, bahwa UU dapat menibulkan konflik... 

Di mana Sila ke 4 pancasila... Di sidang pengesahannya saja tidak tercermin nilai tersebut...... 
Begini sudah klo orang tidur saat jam pelajaran PPKN 😂😴",ciptaker sah pandemi tergesah gesah pemikiran pemerintah menibulkan konflik sila pancasila sidang pengesahanya tercermin nilai orang tidur sat jam pelajaran pkn,Negatif
670,Maling Jemuran,@Tegar Anggi Prasetyo Jutaan yg bergelar doktor dan profesor dan ahli hukum. Temen gue aja doktor tapi yah profesor zaman sekarang mah bisa diakalin. Modal cuma ngomong. Nenek gue aja pintar ngomong tentang hukum maling ayam di desa. 🤣🤣🤣. Gue lebih percaya presiden. Karena dibantu dg profesor2 yg kompeten dibidangnya. Nah yg ono profesor apa profesor onta yg cuma bisa rusuh hahaha 🤣🤣🤣🤣🤣,angi prasetyo jutan bergelar doktor profesor ahli hukum teman doktor yah profesor zaman diakalin modal bicara nenek pintar bicara hukum maling ayam desa percaya presiden dibantu profesor kompeten dibidangnya ono profesor profesor onta rusuh hahaha,Negatif
671,Tegar Anggi Prasetyo,"Yg bicara Ahli hukum.... Gelar nya Prof dan guru besar fakultas Hukum...... Nah kalao sampean percaya Pakde, pakde itu lulusan Hukum???",bicara ahli hukum gelar prof guru fakultas hukum kalao sampean percaya pakde pakde lulusan hukum,Negatif
672,Maling Jemuran,@Tegar Anggi Prasetyo Lah ... gue malah gk percaya dg video mesum tsb. Sumbernya juga gk jelas. Nah klo ini video asli yg bicara presiden sendiri bukan tukang demo 😃😃😃,angi prasetyo percaya video mesum sumbernya video asli bicara presiden tukang demo,Negatif
673,Tegar Anggi Prasetyo,"Bagus lo tonton ini aja bang..... Biar lo sadar, nda kena tipu terus 
https://youtu.be/BYbteMDRc3w",bagus tonton bang biar sadar kena tipu,Positif
674,Maling Jemuran,"@Tegar Anggi Prasetyo Klik aja link tadi terus cari keteranga   klik disini. Aduh .. si bro becanda pura2 bego apa benar2 bego sih, bro. Masa sih cara download aja gak ngerti.",angi prasetyo klik link cari keteranga klik aduh si saudara laki-laki becanda pura bego bego saudara laki-laki download mengerti,Negatif
675,Tegar Anggi Prasetyo,"Saya minta File nya... Bukan berita/artikel ,bukan juga sponsor aplikasi",file berita artikel sponsor aplikasi,Positif
676,Maling Jemuran,@Tegar Anggi Prasetyo masah sih.. klo gk percaya coba googling deh.. di web biro presiden atau ketik aja di google . Gitu aja kok report.,angi prasetyo masah percaya coba gogling deh web biro presiden ketik gogle report,Negatif
677,Tegar Anggi Prasetyo,"Waw, bagus sekali. Anda endors aplikasi ....gk ketemu malah",waw bagus endors aplikasi ketemu,Positif
678,toboh apar,"narkoba merusak generasi bngsa
korupsi menghancurkan suatu negara.
ini sama sama berbahaya.
negara yg maju memiliki pemimpin yg jujur. saya yakin klo pemimpinnya jujur. rakyat pasti makmur","narkotika, psikotropika, obat terlarang merusak generasi bngsakorupsi menghancurkan negara berbahaya negara maju memiliki pemimpin jujur pemimpinya jujur rakyat makmur",Negatif
679,Pozen Channel,Kelihatan nya lancar Baca teks,lancar baca teks,Positif
681,Wahidin Udin,Asalamualaikum pak saya mah  anak ya cuman tamat SMK pak kepingin kerja setiap melamar kerja selalu di tolah pak mau melanjut kan gak punya uang pak mohon di tolong pak,asalamualaikum anak cuma tamat smk kerja melamar kerja tolah melanjut uang mohon tolong,Negatif
682,Anifa Maresti,Pak ak mintak tolong yg korupsi di hukum mati. Itu tikus2 kantor yg kotor berantaskan korupsi pak.semoga bapak sehat selalu,mintak tolong korupsi hukum mati tikus kantor kotor berantaskan korupsi semoga sehat,Negatif
683,Dea maria,Kalo lihat ni orang kynya pengen muntah,lihat orang kynya muntah,Negatif
685,Aditya Nurahman,Uangnya pada habis buat Top Up!,uangnya habis top up,Negatif
686,kusnan,Terimakasih pak persiden atas penjelasanya semoga awoh taala melindungi kita semua ?hidup cuma sebentar yg baik demi negara lakukan aja?,terimakasih persiden penjelasanya semoga awoh tala melindungi hidup sebentar negara lakukan,Negatif
687,°TUKANGDAWET™,"BPK jokowi tolonglah,
muliakan para korupotor DENGAN HUKUMAN MATI !!!!!!!",jokowi tolonglah muliakan korupotor hukuman mati,Negatif
688,Maneka Warna,Semoga Allah SWT sentantiasa melimdunngi Bappak. Aamin,semoga allah swt sentantiasa melimdungi amin,Positif
690,ORG 2022 INDONESIA,Ini youtuber sebar hoax kenapa tidak di tindak pidana https://youtu.be/fsSOU-BV7EE,youtuber sebar isu bohong tindak pidana,Negatif
691,Chrisland KIDS,Yakin uu hukuman mati bs selesaikan masalah ?smudah itukah?uu ini bertujuan agar ijin2 d permudah jd kita gk perlu suap sana sini biar ijin lngsng dr sistem transparan...hal kecillllll sperti ini aja kalian tentang habis2an....,hukuman mati selesaikan smudah bertujuan ijin permudah suap biar ijin lngsng sistem transparan sperti habisan,Negatif
692,Rifai Rifai,"Mf bpk. Jokowi yg terhormat
Saya ingin bertanya
Knp setiap terobosan yg anda buat itu sllu tertuju pda rakyat? 
Knp perangkat2 pemerintahan anda tdk pernah diberi terobosan seperti ini?",mf jokowi terhormatsaya bertanyaknp terobosan slu pda rakyat perangkat pemerintahan terobosan,Negatif
693,Encud Tea,"""Ya alloh mudah mudahan para DPR dan para petinggi negara yg mendzolimi rakayatnya cepat cepat di beri azab,
Amiinn!!",aloh mudah mudahan dpr petingi negara mendzolimi rakayatnya cepat cepat azab amin,Negatif
694,CakCak CH,"moal di denge dak percuma, cape"" maneh, mending doaken meh gera modar sakalian jeng antek""na😂😂",moal denge dak capek doaken meh gera mati sakalian jeng antek na,Negatif
695,Ardhiyan Fajrin,Rasanya seperti ironman,ironman,Positif
696,Toni Adul,SalamuLIkum papaersiden maap saya mau tanya kemana bpk wakil presiden,salamulikum papaersiden map kemana wakil presiden,Negatif
697,Arkana Yuli,Kenapa pada bilang hoax...dan kenapa draf finalnya masih blm ada...yg disahkan sebenernya ada draftnya atau sekedar kertas kosong??,bilang isu bohong draf finalnya disahkan sebenernya draftnya sekedar kertas kosong,Negatif
698,Didnlaity,"topiknya omnibuslaw, kok pada bahas yg lain",topiknya omnibuslaw bahas,Negatif
700,Noor Annisa144,Sumpah udah bosen dengarnya pak🙃 kalo memang benar hoax hadapi dong itu rakyat nya yang sedang menyuarakan aspirasi mereka☺️ katanya merakyat 😬,sumpah bosen dengarnya isu bohong hadapi rakyat menyuarakan aspirasi merakyat,Negatif
701,Naifaturisma,Ngapalinnya semaleman. Kaku bgt.. Ky lg di tes hafalan.. Wkwkwk,ngapalinya semaleman kaku banget tes hafalan,Negatif
703,Noir Kuro,untung udah aku mute videonya,untung mute videonya,Negatif
704,Noir Kuro,"@Maling Jemuran  terlepas dari hoax/bukan dari proses pengesahannya aja sudah hmm 😂😂, apa kabar yang bilang kopet tidak bisa hidup di indonesia wkwkwk.",jemuran terlepas isu bohong proses pengesahanya hm kabar bilang kopet hidup indonesia,Negatif
705,Maling Jemuran,Maklum generasi Tik Tok. Otaknya cuma goyang dan anarkis. Dijelasin gk mau denger tapi diprovokasi hoax malah hobyy. Apes.. apes hidup mu bro cuma jadi tumbal hoax doank. 😂😂😂,maklum generasi tik tok otaknya goyang anarkis dijelasin denger diprovokasi isu bohong hoby sial sial hidup mu saudara laki-laki tumbal isu bohong doank,Negatif
706,Saipul 2009,"Waiiiii presiden yg saya hormati. Apa nasip kami orang yg miskin.yg hanya berkerja sebagai buruh bukan pengusaha.andai para DPR merasakan kehidupan rakyat miskin,mungkin beliau tak akan ada  yg berpikir korusi.",wai presiden hormati nasip orang miskin berkerja buruh pengusaha andai dpr merasakan kehidupan rakyat miskin beliau berpikir korusi,Negatif
707,Maling Jemuran,@Saipul 2009 makanya baca uu nya biar jelas atau klo tidak dengerin penjelasan presiden. Klo demko kan memang hobby nya para anarko,baca biar dengarkan penjelasan presiden demko hoby anarko,Negatif
708,Saipul 2009,"Kalo benar melindungi,mukim tak akan ada demo",melindungi mukim demo,Negatif
709,Maling Jemuran,makanya uu cipta karya ini salah satunya melindungi buruh dari serikat buruh yg tidak ada kerjaan.,cipta karya salah satunya melindungi buruh serikat buruh kerjan,Negatif
711,Indah Juwita,kicep kan lo semua. makanya jgn kemakan hoax❌❌❌ Baca dan baca dulu dengan jelas!!! bangsa ini cepet bgt terprofokasi!!!!!!!!!!!!! ini juga demi kebaikan rakyat!!!!!!!!!!! gila,kicep kemakan isu bohong baca baca bangsa cepat banget terprofokasi kebaikan rakyat gila,Negatif
712,Fikri Afrian,"Tu kalo cuti tetep dibayar utuh gak?
Untuk karyawan tetap mungkin tidak bisa di PHK sepihak. Tapi untuk karyawan kontrak gimana? Emang gak di PHK sih, tapi kalo dikontrak trs gimana. Itu pun kalo iya dilanjutkan, kalo gak? Nyebut nya sih bukan PhK, tp habis kontrak",tu cuti tetep dibayar utuh karyawan phk karyawan kontrak phk dikontrak dilanjutkan nyebut phk habis kontrak,Negatif
713,Galih Sukmawan,DI ARAHKAN MENJADI MENJADI CINA BARU YA YA YA PRUBUMI DIBIKIN KO PENDATANG DIBUAT RAJA,arahkan cina prubumi dibikin ko pendatang raja,Negatif
714,Sardi Yanto,"Pak presiden yg terrrrrhormat... 
Mengapa dr awal penyusunan sampai pengesahan tidak ada draft yg asli yg bisa diakses oleh rakyat???? Kl dr awal sudah ada draft nya,, setidaknya rakyat bisa tahu yg sebenarnya dan tidak akan beredar berita2 yg simpang siur,,",presiden terhormat penyusunan pengesahan draft asli diakses rakyat draft rakyat beredar berita simpang siur,Negatif
715,Maling Jemuran,"Googling donk di web resmi dpr, biro kepresidenan dan instansi pemerintah lainnya yg saling berkaitan. Jangan tik tok terus kerjanya",gogling donk web resmi dpr biro kepresidenan instansi pemerintah lainya berkaitan tik tok kerjanya,Negatif
716,Plethoek X,Baru jadi teksnya??,teksnya,Positif
717,Ar Ta,"Cuma mau bilang, pengen sukses:)",bilang sukses,Positif
718,ichsan burhani,Apa saya saja liatnya kayak presenter baca teks.. sudah terlatih rupanya.,liatnya kayak presenter baca teks terlatih,Negatif
719,Rizky Sahara,Tolong Pak di pertimbangkan lagi pertimbangkan lagi rakyat,tolong pertimbangkan pertimbangkan rakyat,Negatif
720,Syukur Bonsai TV,Semoga  sehat selalu Pak Jokowi semoga kedepannya lebih baik lgi,semoga sehat jokowi semoga kedepanya,Positif
721,ichsan burhani,Pandemi sering2 cuci tangan ya kan... Menghindari ..... Biar keliatan .....,pandemi cuci tangan menghindari biar,Negatif
722,mama nabila channel,"Hanya menunggu apa yang akan terjadi selanjutnya, apa kabar MK.. ?",menungu kabar mk,Positif
723,Muklis Adi Afris,Ayo bapak dewanku buat uu korupsi dihukum mati.,ayo dewanku korupsi dihukum mati,Negatif
726,Wong Jowo Asli,"Kae lo rungokno, ojo angger ngerusak fasilitas umum waktu demo",kae rungokno ojo anger ngerusak fasilitas demo,Negatif
728,Arif Fahrurrozi,Wah pasukan cyber mncul. Pokoknya sangkal trs ap yg dsmpaikan pak jokowi. Bhs uu omnbuslaw di alihkan isunya ditbrak sm uu korupsu blum nymbung bosss,pasukan cyber mncul pokoknya sangkal dsmpaikan jokowi bhs omnbuslaw alihkan isunya ditbrak sm korupsu nymbung bos,Negatif
729,Wong Jowo Asli,Sehat selalu buat pak jokowi. Terimakasih banyak bantuan BST nya,sehat jokowi terimakasih bantuan bst,Positif
730,taikucing mambu,ITU KNYATAANYA JGN Dengar propokasi yg mau memngahncurkan negara demo2 gakan terjadi klo gada profokatorrr sangkuni,knyatanya dengar propokasi memngahncurkan negara demo gakan gada profokator sangkuni,Negatif
731,Amoeba83 TV,"Pa residen bikin Omnibus law tentang hukum.pudana korupsi di gantung, pasti smua rakyat stujuuu pa. Mksih.",residen bikin omnibus law hukum pudana korupsi gantung rakyat stuju mksih,Negatif
732,Sharla Febrianty,"Assalamualaikum pak saya ingin menyampaikan aspirasi saya : 
1. Yg saya lihat rakyat ingin pemerintah membuat Undang Undang Tentang Korupsi pak, dimana para koruptor dihukum dengan tegas sesuai dengan perbuatannya pak.
2. Prioritaskan Covid-19 terlebih dahulu pak, karena menurut saya tdk terjadi peningkatan hanya dri edukasi saja, kasian rakyat kecil pak, ada yg belum mampu beli masker bahkan makan saja susah. Dibagikan masker saja tdk cukup pak, bagaimana dengan makan mereka, apakah dengan memakai masker kita kenyang pak?
3. Jangan terlalu banyak memakai dana untuk influencer pak, mengenai untuk memberika edukasi kepada masyarakat, karena sewaktu saya meminta pendapat teman2 saya. Mereka pun bicara hal tsb tdk terlalu berpengaruh.
Mungkin sekian pak yg saya sampaikan, mohon maaf jika ada kata-kata yg tdk pantas atau menyinggung bapak maupun yg lain",asalamualaikum aspirasi lihat rakyat pemerintah undang undang korupsi dimana koruptor dihukum sesuai perbuatanya prioritaskan covid peningkatan edukasi kasian rakyat beli masker makan susah dibagikan masker makan memakai masker kenyang memakai dana influencer memberika edukasi masyarakat pendapat teman bicara berpengaruh sekian mohon maaf menyingung,Negatif
733,Maling Jemuran,@Sharla Febrianty Nah tinggal kita lihat dan awasi seperti apa,febrianty tingal lihat awasi,Negatif
734,Sharla Febrianty,"@Maling Jemuran makasi kak infonya, saya cmn mau nyampein aja kemauan saya. Bukan mau kritik omnibuslaw begimana2 wkwk. Itu mah cukup diliat aja ntr sesuai fakta apa cmn jadi janji aja ntr:)",jemuran makasi kak infonya cmn nyampein kemauan kritik omnibuslaw begimana tertawa diliat ntr sesuai fakta cmn janji ntr,Negatif
735,Maling Jemuran,"Ada 11 Omnibus Law sis yg mau dikeluarkan pemerintah. Yg baru keluar baru penertiban investor, izin, usaha, buru, upah, pesangon, dll yg terangkum dalam Omnibus Law Cipta Kerja. Artinya masih ada 10 omnibus law lainnya yg bisa jadi membahas tentang hukum",omnibus law kakak perempuan dikeluarkan pemerintah tertib investor izin usaha buru upah pesangon terangkum omnibus law cipta kerja omnibus law lainya membahas hukum,Negatif
739,Maling Jemuran,"Yakin mau baca UU CIPTA KERJA yg berisi 905 hal dan Terbagi kedalam 11 klaster (11 pembahasan).

Ayo masyarakat Indonesia. Jangan tik tok mulu. Jadi mudah termakan hoax.

Ayo. Download dan baca dulu UU CIPTA KARYA disini dan baru ngebacot bro 😁

https://www.google.com/amp/s/www.idntimes.com/news/indonesia/amp/irfanfathurohman/draf-uu-cipta-kerja-versi-badan-legislasi-dpr-ri-download-di-sini",baca cipta kerja berisi terbagi kedalam klaster pembahasan ayo masyarakat indonesia tik tok melulu mudah termakan isu bohong ayo download baca cipta karya ngebacot saudara laki-laki,Negatif
740,Malik Lutfi,Kalau ini video kalah trending dari video media yg cuman liat dari sisi demonstran doang. Fix kebanyakan orang Indonesia masih buta hukum.,video kalah trend video media cuma lihat sisi demonstran fix kebanyakan orang indonesia buta hukum,Negatif
741,Reza Rizalda,Kapan ada presiden yg kya pak gusdur,presiden kya gusdur,Positif
742,Ben Otte,"terimakasih pak, sudah mau perhatikan para buruh... 👍🙏",terimakasih perhatikan buruh,Positif
743,Ben Otte,terimakasih pak...🙏🙏🙏🙏,terimakasih,Positif
744,Deska R,semoga bapak jokowi sehat selalu dan semoga permohonan rakyat untuk hukuman kepada koruptor di dengar 😊,semoga jokowi sehat semoga permohonan rakyat hukuman koruptor dengar,Positif
745,mamad a,"pak presiden udah baca uu nya?? atau sekedar melanggengkan kepentingan korporat? 

negeri tirani> 
pengusaha dan pemerintah ngerjain rakyat, polisi yang mukulin biar ga ngelawan",presiden baca sekedar melangengkan kepentingan korporat negeri tiran pengusaha pemerintah ngerjain rakyat polisi mukulin biar ngelawan,Negatif
746,Maling Jemuran,@mamad a Loh buktinya kan rusuh. Para anarko ini emang hobby bersilat lidah. waduh apes2 deh,buktinya rusuh anarko hoby bersilat lidah sial deh,Negatif
747,mamad a,"@Maling Jemuran sok2 nuduh rusuh, elu kali provokatif rezim",jemuran sok nuduh rusuh kali provokatif rezim,Negatif
748,Maling Jemuran,"@mamad a Minta bantuan si said aqil ketua KSPI donk. Jangan makan  uang buruh dg bangun rumah terus donk. Serikat buruh di Indonesia kan ratusan, klo memang atas nama buruh sewa saja pengacara handal klo perlu seribu pengacara lalu gugat ke MK. Jangan jadi anarko donk. Emang yg bisa rusuh cuma elu doank. 😂😂😂",bantuan si said aqil ketua kspi donk makan uang buruh bangun rumah donk serikat buruh indonesia ratusan nama buruh sewa pengacara handal seribu pengacara gugat mk anarko donk rusuh doank,Negatif
749,mamad a,"@Maling Jemuran percumah ke mk, emang rakyat gampang dikerjain lagi, intinya gua cuma calon buruh, gua udh liat kajian uu ini dimana2, gaada yg namanya kepentingan rakyat berakk,  lu bilang anarko, anarko tu peliharaan rezim biang rusuh piaraan rezim rakyat demo baek2 eh di susupin piaraan yg ngerusuh",jemuran percumah mk rakyat gampang dikerjain intinya calon buruh lihat kajian dimana gada namanya kepentingan rakyat berak bilang anarko anarko tu peliharan rezim biang rusuh piaran rezim rakyat demo baek eh susupin piaran ngerusuh,Negatif
750,Maling Jemuran,@mamad a Lu udah baca belum yg 1035 hal tersebut. Udah dicocokan belum dengan  yg beredar resmi. Coba cek satu per-satu letak kejanggalannya terus bawa ke MK untuk diuji materi bukannya dengan anarkis dan merusak fasilitas sampai kerugian milyaran rupiah.,baca dicocokan beredar resmi coba cek letak kejangalanya bawa mk diuji materi bukanya anarkis merusak fasilitas kerugian milyaran rupiah,Negatif
751,mamad a,"@Maling Jemuran biasanya yg ngatain yg ngelakuin, wkwk tambah buzzer lengkap negeri super tirani",jemuran ngatain ngelakuin tertawa buzer lengkap negeri super tiran,Negatif
